# Temperature scan between 27 and 27 °C 
# This measurement DOES NOT include the coincidence stage where we separate single photons based on polarization per channel. 
# TEST MEASUREMENT# --------------------------------- 
# Input laser power: 90 mW  at 780 nm (262 mA) 
# Power at input: 90 mW  at 780 nm (262 mA) 
# Pump polarization: 'D' (Ch1, C21R)(uW)  = 82.1 mW)# Periodic polling: 9.12 um# Initial setup alignment at 22.0 C# Integration time: 60 s 
# Single photon detector darkcounts: 0.3 and 0.27 kHz 
# Single photon detector QE: 10% 
# Single photon detector dead time: 20 us 
# Time-delay of [0, 0] ns# ---------------------------------- 
# Temperature    Clicks_1    Clicks_2    Correlations 
# [C]    [/]    [/]    [/] 
27.0    424    602    0
27.2    419    555    0
27.4    463    636    0
27.6    421    649    0
27.8    429    602    0
28.0    416    640    0
28.2    405    565    0
28.4    415    634    0
28.6    385    589    0
28.8    394    585    0
29.0    406    588    0
29.2    427    544    0
29.4    395    628    0
29.6    385    573    0
29.8    407    577    0
30.0    351    592    0
30.2    406    554    0
30.4    442    589    0
30.6    387    579    0
30.8    407    627    0
31.0    417    667    0
31.2    432    492    0
31.4    396    642    0
31.6    434    606    0
31.8    323    666    0
32.0    429    740    0
32.2    410    578    0
32.4    492    693    0
32.6    397    779    0
32.8    425    710    0
33.0    419    665    0
33.2    428    636    0
33.4    398    617    0
33.6    408    604    0
33.8    399    685    0
34.0    450    629    0
34.2    480    694    0
34.4    423    593    0
34.6    457    726    0
34.8    395    647    0
35.0    405    635    0
35.2    459    710    0
35.4    448    598    0
35.6    378    670    0
35.8    366    658    0
36.0    447    644    0
36.2    417    698    0
36.4    429    754    0
36.6    428    725    0
36.8    408    659    0
37.0    422    721    0
37.2    452    763    0
37.4    444    698    0
37.6    483    708    0
37.8    457    687    0
38.0    445    708    0
38.2    549    796    0
38.4    607    808    0
38.6    539    819    0
38.8    575    883    0
39.0    572    1052    0
39.2    586    1083    0
39.4    717    1124    0
39.6    800    1148    0
39.8    748    1408    0
40.0    895    1343    0
40.2    851    1450    0
40.4    879    1431    0
40.6    905    1576    0
40.8    888    1513    0
